length_up,length_low,length_center,return_up,return_low,return_center
6,3,4.333333333333333,7,4,5.666666666666667
5,1,3.3333333333333335,9,-5,3.3333333333333335
13,2,6.333333333333333,6,-3,0.3333333333333333
15,2,9.333333333333334,8,-5,0.6666666666666666
20,4,14.666666666666666,6,-20,-8.0
11,2,6.333333333333333,8,-1,3.6666666666666665
9,3,5.0,7,1,5.0
20,12,16.333333333333332,-2,-20,-9.666666666666666
16,2,7.0,8,-6,3.0
20,3,9.0,7,-20,-2.3333333333333335
12,7,8.666666666666666,3,-7,-2.0
20,1,12.333333333333334,9,-20,-5.666666666666667
9,5,7.333333333333333,5,1,2.6666666666666665
20,1,8.333333333333334,9,-20,-1.6666666666666667
20,1,9.0,9,-20,-2.3333333333333335
12,1,8.0,9,-2,2.0
20,3,9.666666666666666,7,-20,-3.0
15,2,7.666666666666667,8,-5,2.3333333333333335
7,1,3.3333333333333335,9,3,6.666666666666667
7,3,5.666666666666667,7,3,4.333333333333333
8,3,5.0,7,2,5.0
6,3,4.666666666666667,7,4,5.333333333333333
20,8,16.0,2,-20,-12.666666666666666
20,7,15.666666666666666,3,-20,-9.0
20,1,8.0,7,-20,-4.666666666666667
17,1,7.333333333333333,9,-17,-4.0
20,2,13.666666666666666,8,-20,-7.0
4,2,3.0,8,6,7.0
10,1,5.333333333333333,9,0,4.666666666666667
3,1,2.0,9,-2,4.666666666666667
6,3,4.333333333333333,7,-6,2.3333333333333335
20,1,12.333333333333334,9,-20,-5.666666666666667
4,3,3.3333333333333335,7,6,6.666666666666667
20,1,7.333333333333333,9,-20,-4.0
10,4,6.666666666666667,6,0,3.3333333333333335
4,3,3.6666666666666665,7,6,6.333333333333333
20,4,9.333333333333334,6,-10,-2.6666666666666665
12,3,6.0,7,-2,4.0
20,2,9.666666666666666,8,-20,-3.0
19,1,8.666666666666666,9,-9,1.3333333333333333
20,1,7.333333333333333,9,-20,-0.6666666666666666
7,1,3.6666666666666665,9,3,6.333333333333333
20,1,7.333333333333333,9,-20,-0.6666666666666666
20,1,11.666666666666666,9,-20,-5.0
11,1,5.333333333333333,9,-4,1.3333333333333333
12,3,6.333333333333333,7,-4,0.3333333333333333
20,2,8.333333333333334,8,-20,-1.6666666666666667
20,11,15.666666666666666,-1,-20,-9.0
7,3,4.666666666666667,7,3,5.333333333333333
12,1,7.333333333333333,9,-2,2.6666666666666665
5,2,3.0,8,-2,3.6666666666666665
4,2,2.6666666666666665,8,-4,4.0
8,2,5.0,8,2,5.0
19,2,9.333333333333334,8,-19,-2.6666666666666665
7,4,5.333333333333333,6,-5,1.3333333333333333
20,1,8.666666666666666,9,-20,-2.0
20,1,7.666666666666667,9,-10,2.3333333333333335
11,2,8.0,8,-1,2.0
