episode_return,episode_length,total_steps
-5,4,6312
-100,20,6332
-30,9,6341
-35,7,6348
-10,2,6350
-40,8,6358
10,1,6359
-45,12,6371
-20,7,6378
-30,9,6387
0,3,6390
-50,10,6400
-50,13,6413
-30,9,6422
-5,4,6426
0,3,6429
-5,4,6433
-35,10,6443
-100,20,6463
10,1,6464
-100,20,6484
-25,8,6492
0,3,6495
-30,9,6504
-100,20,6524
-95,19,6543
10,1,6544
5,2,6546
-40,11,6557
-15,6,6563
-10,5,6568
-5,1,6569
-10,5,6574
-65,16,6590
-35,10,6600
-30,9,6609
5,2,6611
-10,5,6616
-50,13,6629
-40,11,6640
-50,13,6653
-5,4,6657
-85,20,6677
-35,10,6687
-15,6,6693
5,2,6695
-100,20,6715
-25,8,6723
-100,20,6743
-30,9,6752
-10,5,6757
-20,4,6761
-10,5,6766
-5,4,6770
5,2,6772
10,1,6773
-70,17,6790
-55,14,6804
-10,5,6809
0,3,6812
-5,4,6816
-100,20,6836
-100,20,6856
-100,20,6876
-60,12,6888
-60,15,6903
-50,13,6916
10,1,6917
-55,14,6931
-25,8,6939
-30,9,6948
-15,6,6954
-65,16,6970
10,1,6971
0,3,6974
-100,20,6994
10,1,6995
-40,11,7006
-20,7,7013
-5,1,7014
-5,1,7015
-20,7,7022
-25,8,7030
-20,4,7034
0,3,7037
-30,9,7046
-15,6,7052
-90,18,7070
-75,15,7085
0,3,7088
10,1,7089
-55,14,7103
-30,9,7112
0,3,7115
-100,20,7135
-75,18,7153
-100,20,7173
5,2,7175
-80,19,7194
-55,14,7208
5,2,7210
-50,13,7223
-15,6,7229
-20,4,7233
-10,5,7238
-55,14,7252
-25,8,7260
-15,6,7266
10,1,7267
-100,20,7287
-85,20,7307
0,3,7310
-100,20,7330
-75,18,7348
5,2,7350
-15,6,7356
-10,5,7361
-55,14,7375
-40,11,7386
-10,5,7391
-100,20,7411
10,1,7412
5,2,7414
10,1,7415
-10,5,7420
-10,2,7422
-20,7,7429
10,1,7430
-5,4,7434
-15,6,7440
-5,4,7444
-45,12,7456
5,2,7458
-20,7,7465
-5,4,7469
-45,9,7478
10,1,7479
-20,7,7486
-25,8,7494
-25,5,7499
-40,11,7510
-30,9,7519
-100,20,7539
-5,1,7540
-75,15,7555
5,2,7557
-35,10,7567
10,1,7568
-30,9,7577
-35,10,7587
-5,4,7591
-10,5,7596
-35,10,7606
-15,6,7612
5,2,7614
-80,16,7630
-55,11,7641
-30,9,7650
-15,6,7656
-30,9,7665
-30,9,7674
-30,9,7683
-5,4,7687
-5,4,7691
-30,9,7700
-50,13,7713
0,3,7716
-100,20,7736
-20,7,7743
10,1,7744
10,1,7745
-10,5,7750
-10,5,7755
-100,20,7775
0,3,7778
0,3,7781
-80,16,7797
0,3,7800
-15,3,7803
-40,8,7811
-5,4,7815
-10,5,7820
-100,20,7840
5,2,7842
10,1,7843
-100,20,7863
5,2,7865
10,1,7866
-15,3,7869
-20,7,7876
5,2,7878
-45,12,7890
-10,2,7892
-100,20,7912
5,2,7914
-20,7,7921
-5,4,7925
-30,9,7934
-45,12,7946
-5,4,7950
-45,12,7962
-5,4,7966
-10,5,7971
-5,4,7975
-5,4,7979
-100,20,7999
10,1,8000
-5,4,8004
-100,20,8024
5,2,8026
-45,12,8038
5,2,8040
-100,20,8060
-10,2,8062
10,1,8063
-75,18,8081
-55,14,8095
-30,9,8104
-15,6,8110
5,2,8112
-20,7,8119
-10,2,8121
5,2,8123
5,2,8125
0,3,8128
-60,15,8143
10,1,8144
-15,6,8150
-45,12,8162
10,1,8163
-85,20,8183
-15,6,8189
-45,12,8201
-35,10,8211
-15,6,8217
-100,20,8237
-5,1,8238
10,1,8239
-50,13,8252
-55,14,8266
-40,11,8277
-15,6,8283
-45,12,8295
0,3,8298
5,2,8300
-5,4,8304
-60,15,8319
0,3,8322
-5,4,8326
-15,6,8332
-35,10,8342
-100,20,8362
-15,6,8368
-40,11,8379
10,1,8380
10,1,8381
5,2,8383
-80,19,8402
-50,13,8415
-15,3,8418
-20,4,8422
-30,9,8431
10,1,8432
-10,5,8437
-100,20,8457
-100,20,8477
-80,16,8493
-55,14,8507
-100,20,8527
-20,7,8534
-25,8,8542
0,3,8545
-20,7,8552
-10,2,8554
-5,4,8558
-25,8,8566
-10,5,8571
10,1,8572
0,3,8575
-100,20,8595
10,1,8596
-20,7,8603
-25,5,8608
-45,12,8620
-20,4,8624
-15,6,8630
-100,20,8650
10,1,8651
0,3,8654
-70,17,8671
-40,11,8682
-15,6,8688
-55,11,8699
10,1,8700
-100,20,8720
-5,4,8724
-40,11,8735
-100,20,8755
-65,13,8768
-10,5,8773
-55,14,8787
10,1,8788
-5,1,8789
-10,5,8794
-100,20,8814
-75,18,8832
10,1,8833
10,1,8834
-50,10,8844
-40,11,8855
5,2,8857
-70,17,8874
-55,14,8888
-50,13,8901
5,2,8903
-100,20,8923
10,1,8924
-60,15,8939
-35,7,8946
0,3,8949
0,3,8952
-25,5,8957
-40,11,8968
-15,6,8974
-25,8,8982
-85,20,9002
10,1,9003
-20,7,9010
-100,20,9030
-100,20,9050
-60,15,9065
0,3,9068
-5,4,9072
10,1,9073
10,1,9074
-100,20,9094
-35,10,9104
10,1,9105
-10,2,9107
0,3,9110
0,3,9113
-70,17,9130
-100,20,9150
-15,3,9153
-35,10,9163
-100,20,9183
10,1,9184
5,2,9186
-55,11,9197
10,1,9198
-20,7,9205
-5,4,9209
10,1,9210
-100,20,9230
-5,4,9234
-5,1,9235
-10,5,9240
-5,1,9241
-5,4,9245
-60,15,9260
-100,20,9280
5,2,9282
-10,2,9284
10,1,9285
-10,5,9290
-75,18,9308
-25,8,9316
-20,7,9323
-60,15,9338
-10,5,9343
5,2,9345
-40,11,9356
-5,4,9360
-5,4,9364
-35,10,9374
-25,8,9382
0,3,9385
-100,20,9405
10,1,9406
-20,7,9413
5,2,9415
-100,20,9435
0,3,9438
-10,5,9443
5,2,9445
-5,4,9449
5,2,9451
-75,18,9469
10,1,9470
-25,8,9478
-10,5,9483
10,1,9484
-65,16,9500
-35,10,9510
0,3,9513
-35,7,9520
5,2,9522
10,1,9523
10,1,9524
5,2,9526
0,3,9529
10,1,9530
10,1,9531
-10,5,9536
-30,9,9545
-100,20,9565
-60,12,9577
-65,16,9593
0,3,9596
-5,4,9600
0,3,9603
-35,10,9613
-35,10,9623
-45,12,9635
-15,6,9641
10,1,9642
-60,15,9657
-10,5,9662
10,1,9663
-45,12,9675
0,3,9678
-25,8,9686
-25,8,9694
-30,9,9703
-5,4,9707
-10,5,9712
5,2,9714
-65,16,9730
10,1,9731
-10,5,9736
5,2,9738
-20,7,9745
5,2,9747
10,1,9748
-20,4,9752
-15,6,9758
-25,8,9766
-10,5,9771
-40,8,9779
-25,5,9784
-5,4,9788
-100,20,9808
-35,10,9818
-100,20,9838
-15,6,9844
-65,13,9857
-80,19,9876
-60,15,9891
-100,20,9911
-65,16,9927
-100,20,9947
0,3,9950
5,2,9952
-35,10,9962
-55,14,9976
-15,6,9982
-15,6,9988
-5,4,9992
10,1,9993
-25,8,10001
-100,20,10021
-5,1,10022
-100,20,10042
-10,5,10047
-40,11,10058
-100,20,10078
-55,14,10092
-85,20,10112
-65,16,10128
-55,11,10139
-5,4,10143
-100,20,10163
-20,4,10167
5,2,10169
-5,4,10173
5,2,10175
-5,4,10179
-5,1,10180
5,2,10182
-65,13,10195
-100,20,10215
10,1,10216
0,3,10219
5,2,10221
-10,5,10226
-35,10,10236
-15,6,10242
10,1,10243
-10,5,10248
-100,20,10268
-100,20,10288
-60,15,10303
10,1,10304
-45,12,10316
-15,3,10319
0,3,10322
-20,7,10329
-100,20,10349
-55,14,10363
10,1,10364
-40,11,10375
0,3,10378
-50,13,10391
5,2,10393
-100,20,10413
-100,20,10433
5,2,10435
-15,6,10441
-5,4,10445
-25,8,10453
-70,14,10467
-25,8,10475
0,3,10478
10,1,10479
-50,13,10492
10,1,10493
5,2,10495
-25,5,10500
-15,6,10506
5,2,10508
-5,4,10512
-20,4,10516
0,3,10519
-25,8,10527
0,3,10530
-25,8,10538
-20,7,10545
-100,20,10565
10,1,10566
-15,3,10569
-95,19,10588
-20,7,10595
-25,8,10603
-5,4,10607
-20,7,10614
-15,6,10620
-55,14,10634
-10,5,10639
-65,16,10655
-10,5,10660
0,3,10663
10,1,10664
-10,5,10669
0,3,10672
-70,17,10689
-55,14,10703
-40,11,10714
-10,5,10719
-20,7,10726
-100,20,10746
-30,9,10755
-75,18,10773
-5,4,10777
-65,16,10793
-10,5,10798
-100,20,10818
-10,2,10820
-30,9,10829
-55,14,10843
-15,6,10849
-5,4,10853
-5,1,10854
-70,17,10871
-35,10,10881
5,2,10883
-30,9,10892
-100,20,10912
-5,4,10916
-10,5,10921
-5,4,10925
10,1,10926
-40,11,10937
-15,6,10943
10,1,10944
-100,20,10964
-100,20,10984
0,3,10987
-30,9,10996
-50,13,11009
0,3,11012
-80,19,11031
-25,8,11039
-10,2,11041
10,1,11042
-100,20,11062
-15,6,11068
-15,6,11074
10,1,11075
-100,20,11095
-5,4,11099
-30,9,11108
-55,11,11119
-5,4,11123
-55,14,11137
-60,15,11152
-10,5,11157
-20,7,11164
5,2,11166
0,3,11169
5,2,11171
-55,14,11185
5,2,11187
5,2,11189
5,2,11191
-35,10,11201
-100,20,11221
-25,8,11229
-40,8,11237
-40,11,11248
-5,4,11252
-10,5,11257
0,3,11260
-15,6,11266
-45,12,11278
10,1,11279
-40,11,11290
10,1,11291
-100,20,11311
10,1,11312
5,2,11314
-10,5,11319
-20,7,11326
-85,20,11346
-60,15,11361
5,2,11363
-5,4,11367
10,1,11368
0,3,11371
-10,5,11376
-100,20,11396
-100,20,11416
-100,20,11436
0,3,11439
-5,4,11443
-10,5,11448
-100,20,11468
-95,19,11487
-75,18,11505
-100,20,11525
-20,4,11529
0,3,11532
10,1,11533
0,3,11536
-10,5,11541
-20,7,11548
-30,9,11557
-100,20,11577
0,3,11580
-35,7,11587
-35,10,11597
0,3,11600
-10,5,11605
-60,15,11620
10,1,11621
-5,4,11625
-50,10,11635
-20,7,11642
0,3,11645
-35,10,11655
-65,16,11671
-100,20,11691
5,2,11693
-40,11,11704
5,2,11706
-5,4,11710
-25,8,11718
-100,20,11738
-5,1,11739
-70,17,11756
-100,20,11776
10,1,11777
-35,10,11787
-10,5,11792
-50,13,11805
-15,6,11811
10,1,11812
-100,20,11832
-100,20,11852
5,2,11854
-5,4,11858
-5,4,11862
-15,3,11865
-20,4,11869
-10,2,11871
-25,8,11879
10,1,11880
-5,4,11884
-40,11,11895
-40,11,11906
-25,8,11914
-20,7,11921
-80,19,11940
-30,9,11949
-60,15,11964
-10,2,11966
-100,20,11986
-25,5,11991
-50,10,12001
-5,4,12005
-100,20,12025
-5,4,12029
-5,1,12030
-25,8,12038
5,2,12040
-5,1,12041
-35,7,12048
-10,5,12053
-50,13,12066
5,2,12068
-5,4,12072
-45,12,12084
-60,15,12099
5,2,12101
5,2,12103
-25,8,12111
10,1,12112
0,3,12115
5,2,12117
-20,7,12124
-20,7,12131
-60,15,12146
0,3,12149
-10,2,12151
-5,4,12155
-10,5,12160
-50,13,12173
10,1,12174
-30,9,12183
-10,5,12188
-65,16,12204
10,1,12205
-10,5,12210
-75,18,12228
-100,20,12248
-60,15,12263
5,2,12265
-30,9,12274
-5,4,12278
10,1,12279
-20,7,12286
-75,18,12304
-100,20,12324
-20,7,12331
0,3,12334
-60,15,12349
0,3,12352
-10,5,12357
-75,15,12372
-5,4,12376
-15,6,12382
-25,5,12387
-20,7,12394
5,2,12396
-50,13,12409
10,1,12410
-50,13,12423
10,1,12424
-15,3,12427
5,2,12429
-55,14,12443
-100,20,12463
-50,13,12476
-20,7,12483
0,3,12486
-100,20,12506
-10,5,12511
-40,8,12519
-100,20,12539
-5,4,12543
-25,8,12551
-65,16,12567
10,1,12568
0,3,12571
-100,20,12591
-15,3,12594
0,3,12597
-15,6,12603
-10,5,12608
10,1,12609
-10,5,12614
-70,17,12631
-10,5,12636
